€625,000 	 Curraghmore, Belcarra, Castlebar, Co Mayo
€420,000 	 Hawthorn Avenue, Castlebar, F23 CV91, Mayo
€199,500 	 Liscarney, Westport, Mayo
€250,000 	 The Moorings, 4 Sandymount, Newport, Mayo
€90,000 	 Aughleam, (Eachléim), Belmullet, Co. Mayo
€100,000 	 Convent Road, Claremorris, Mayo
POA 	 Knockalegan, Crossmolina, Mayo
€265,000 	 1 Cill Cluain, Louisburgh, Mayo
€160,000 	 13 Grattan Manor, Grattan Park, Claremorris, Mayo
AMV €80,000 	 Buckwaria, Westport, Mayo
€85,000 	 1 Castle Row, Ballina, Mayo
€162,000 	 8 Waterstone, Ballina, Mayo
€595,000 	 Binghamstown House, Binghamstown, Belmullet, Co Mayo, F26 C9X5
€125,000 	 2 Tower View, Meelick, Swinford, Co. Mayo
POA 	 Kenny's Guest House,Lucan Street , Castlebar, Mayo
€195,000 	 11 Harbour Village, The Quay, Westport, Mayo
€142,500 	 40 Hazelhill Downs, Ballyhaunis, Mayo
AMV €245,000 	 ONLINE AUCTION Camcloon More, Newport, Mayo
€99,500 	 1B Beech Park, Ballyhaunis, Co. Mayo
€120,000 	 Cloonkeen, Tagheen, Claremorris, Mayo
POA 	 9 An Geagain, Ballinrobe, Mayo
